CODART;FAMILIA;SUBFAMILIA;Obsoleto
190002;GALLETAS Y DULCES;GALLETAS Y DULCES;No
190003;GALLETAS Y DULCES;GALLETAS Y DULCES;No
195004;CONDIMENTOS;ACEITES Y VINAGRES;Si
195005;CONDIMENTOS;ACEITES Y VINAGRES;No
199903;HARINAS Y SEMOLAS;SEMOLAS;No
199908;HARINAS Y SEMOLAS;SEMOLAS;No
200002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
200003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
200005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
200006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
200007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
200008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
200014;COMPLEMENTOS;SUPERALIMENTOS;No
201000;;;Si
201001;FRUTOS SECOS Y SNACKS;FRUTAS;No
201002;FRUTOS SECOS Y SNACKS;FRUTAS;No
201003;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;No
201004;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;No
201006;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;No
201009;FRUTOS SECOS Y SNACKS;FRUTAS;No
201015;FRUTOS SECOS Y SNACKS;FRUTAS;No
201016;FRUTOS SECOS Y SNACKS;FRUTAS;No
201018;FRUTOS SECOS Y SNACKS;FRUTAS;No
201019;FRUTOS SECOS Y SNACKS;FRUTAS;No
201020;FRUTOS SECOS Y SNACKS;FRUTAS;No
201021;FRUTOS SECOS Y SNACKS;FRUTAS;No
201023;FRUTOS SECOS Y SNACKS;FRUTAS;No
201024;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;No
201901;FRUTOS SECOS Y SNACKS;FRUTAS;No
203003;SEMILLAS;SEMILLAS;No
203004;SEMILLAS;SEMILLAS;No
203005;SEMILLAS;SEMILLAS;No
203006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
203008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
